変換前,変換後
暑い,ビールが旨い
愛想がない,真剣
愛想笑い,空気を読める
赤信号,ちょっと一休み
赤点,先生の丸をつける作業を軽減できた
飽き性,色々なことに興味がある
浅はか,行動を起こすのが早い
汗かき,乾燥肌になりにくい
あほ,みんなから可愛がられる
いい加減,おおらか
言い訳,頭の回転が早い
忙しい,充実してる
痛い,生きていることを実感できる
薄毛,あるものを大切にする心
嘘つき,頭の回転が速い
器が小さい,損をしない
裏切り,人生のスパイス
うるさい,賑やか
売れ残り,ファイナリスト
浮気症,行動力がある
絵が下手,インパクトがあり印象に残りやすい
偉そう,自分に自信を持っている
駅が遠い,良い運動になる
枝毛,増毛
遠距離恋愛,想う時間が増える
往生際が悪い,粘り強い
応用力がない,基本に忠実
大雑把,決断が早い
お金が無い,働く意欲になる
臆病,慎重
怒られる,まだ見放されていない
幼い,愛嬌がある
おせっかい,世話好き
おちつきがない,活発
お調子者,気さく
面白くない,ツッコミの練習ができる
表と裏,ギャップ
肩こり　,集中した証
滑舌が悪い,話すだけで面白い
かつら,おしゃれ
悲しみ,成長
花粉症,繊細
加齢臭,若い男にはない魅力
がさつ,おおらか
気が合わない,自分には無いものを持っている
気が小さい,おとなしい
キザ,紳士的
厳しい,コーチ
気分屋,自分に正直
協調性がない,自分を持ってる
食い意地,食べ物を粗末にしない
空腹,最高の調味料
臭い,刺激的
くせっけ,パーマいらず
口が軽い,誉めてくれる
口うるさい,思いやりがある
口下手,誠実
くどい,粘り強い
苦しみ,忍耐力がつく
計画性がない,行動力がある
毛が濃い,蚊に刺されない
けち,やりくり上手
ケバい,目立つ
口うるさい,思いやりがある
口下手,誠実
毛が濃い,寒さがしのげる
恋人との喧嘩,愛情確認
後悔,反省
焦げた,香ばしい
骨折,ボディイノベーション
孤独,自立している
寒い,涼しい
挫折,成長剤
三段腹,横に割れた腹筋
嫉妬,恋のスパイス
失恋,人生経験
死ね,もっと楽に生きろ
脂肪,幸せの塊
しみ,チャームポイント
しわ　　,生きてきた証
神経質,慎重
自己中,主体的
地味,シンプル
睡眠不足,努力の証
ずぼら,大らか
騒音,賑やか
粗暴,おおらか
退屈,余裕がある
他人頼み,甘え上手
他力本願,甘え上手
短足,安定感
ダサい,人とは違うセンスがある
ちび,小柄
チャラい,ノリがいい
中途半端,大らか
追試,チャンス
疲れた,頑張った
冷たい,クール
梅雨,風情がある
つまらない,改善の余地あり
てきとう,おおらか
転校,新しい自分へ
デブ,わがままボディ
出っ歯,印象的
ドタキャン,突然の自由な時間
鈍感,打たれ強い
投げやり,気持ちの切り替えが早い
生意気,威勢がいい
怠け者,要領がいい
ナルシスと,自信がある
苦手,まだ好きじゃない
肉体労働,筋トレ
入院,長期休暇
二ート,自宅警備員
ぬけぬけ,周りに流されない
猫背,腰が低い
猫かぶり,甘え上手
ネットが重い,自分の時間に回せる
寝つきが悪い,いい夢への準備
能天気,前向き
のろま,丁寧
のんき,ゆったりしている
薄情,気兼ねない
ハゲ,親父に似てきた
はしたない,活発
恥知らず,周りに流されない
派手,華やか
鼻が低い,日本美人
話下手,誠実
腹が出てきた,大人の余裕が出てきた
腹黒い,演技力がある
腹が立つ,生命力が強い
卑怯,精神面が強い
悲観的,想像力が豊か
ひきこもり,蝶になる前の蛹
皮下脂肪,備蓄
非常識,思考の先取り
引っ込み思案,観察力がある
人任せ,采配を取るのがうまい
暇,平穏無事
品がない,周りに流されない
ひねくれている,物事を違う角度から見れる
不安,期待
不甲斐ない,気が優しい
不幸,これから幸せになる
不誠実,柔軟性がある
ふてぶてしい,大胆
ふぬけ,名脇役
不真面目,気さく
不愛想,自分に誠実
不器用,一所懸命
不平等,決断力がある
平凡,常識人
ヘタレ,慎重
偏見,ユニーク
変人,天才
下手,過程を楽しめる
返事がない,他のことに集中している
変態,ある種の知識に精通している
便秘,粘り強くなる
ペシミスト,最悪の状態を予測している
屁理屈をこねる,柔軟な思考力を持っている
方向音痴,思わぬ発見がある
ほら吹き,夢のある楽天家
暴力的,体力がある
没個性,能ある鷹は爪隠す
凡人,大変な努力家
ぽっちゃり,癒し系
ぼろい,使い込まれて味がある
ぼっち,周りから束縛されない
ほうれい線,知恵の跡
放蕩,自由気まま
マイナス思考,思慮深い
マイペース,落ち着きがある
負け犬,違う視点を持てる
負け組,蒔け組
不味い,斬新な味付け
窓際族,命がかかる
マヌケ,憎めない
回りくどい,過程を大切にできる
周りから浮いてる,個性がある
周りが見えない,集中力がある
身から出た錆,二度としなくなる
未熟,初々しい
ミス,成功の架け橋
三日坊主,切り替えが早い
みっともない,見栄を張らない
ミーハー,流行に敏感
道に迷った,新しい世界を知った
店が混んでいる,選択の正しさの証明
水虫,一皮むけて大人びている
耳が悪い,精神が安定
みんなに飽きられた,定番になった
無関心,受け流すのがうまい
無気力,おだやか
無個性,場になじむ
むさい,熱い
無趣味,お金がかからない
無神経,小さなことを気にかけない
無責任,自由である
無鉄砲,チャレンジャー
無表情,クール
無謀,チャレンジャー
目が細い,クール
メタボ,裕幅がよい
女々しい,物腰が柔らかい
めんどくさがり,自分の気持ちに正直
目が悪い,二つの視界を持つ
恵まれない,工夫に挑戦できる環境
目つきが悪い,目力がある
目元のシワ,笑い上戸
目を見て話せない,照れ屋さん
もうダメ,レベルアップの機会
もう無理,いやになるほど頑張った
モテない,純粋
物足りない,腹八分
物忘れが激しい,おおらか
やかましい,元気いっぱい
役立たず,一所懸命
厄年,飛躍の年
やけ食い,大人食い
やつれた,物事に対して新市の対応した証
やる気が出ない,自分の気持ちに正直
やりたいことが決まらない,選択肢が多い
やせ我慢,忍耐強い
休みがない,無駄に出費がない
焼き肉食べ過ぎた,体格がいい
融通が利かない,意志が強い
優柔不断,フレキシブル
指が太い,しっかりつかめる
ゆで過ぎのスパゲッティ,お婆ちゃんが箸で食べられる
夢見がち,想像力が豊か
宵っ張り,夜に強い
幼稚,愛嬌がある
腰痛,人の痛みがある
要領が悪い,丁寧
欲張り,自分の気持ちに正直
汚れ,物語がある
酔っ払う,ぐっすり眠れる
夜泣き,子供の成長
弱い,強さの基礎
弱虫,慎重
雷同,柔軟性がある
落第,学生気分でいられる
楽できない,楽しめる
乱雑な部屋,片付け甲斐がある
乱暴,有り余るほどの体力
ラーメンが伸びた,食べやすい
LINEブロックされた,直接会って話したいという無言のメッセージ
理解不能,独創的
利己主義,合理的
離婚,新しい自分に出会える
リストラ,精神と肉体の自由へのカギ
リバウンド,ハリがある
理不尽な思いをする,心の成長
流行に強い,伝統を大事にする
流行に乗れない,人に流されない
ルーズ,リラックス
ルール違反,並々ならぬ勝利への熱意
礼儀知らず,おおらか
冷血,精神面が強い
冷酷,情にほだされない
冷蔵庫に入れておいたプリンが食べられた,その分ご飯がおいしく食べられる
老化,人生後半戦
老眼,細かいところが気にならない
浪人,知識が増える
浪費,経済活性化に貢献
ろくでなし,一所懸命
若年寄,若いのに分別がある人
別れ,けじめ
わがまま,自分の気持ちに正直
忘れ物,順応力が鍛えられる
笑われた,笑わせた
悪賢い,頭の回転が速い
悪口,好きの裏返し
